SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,GRANDE NORD - VOTI ALLA LISTA,ITALIA AGLI ITALIANI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,PIÃ¹ EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(PIÃ¹ EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",PARTITO VALORE UMANO - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO REPUBBLICANO ITALIANO ALA  - VOTI ALLA LISTA,POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
1,838,48,1,0,91,191,92,4,6,14,1,0,53,57,22,7,1,4,2,18,612,0.7303102625298329
2,611,39,0,0,54,113,56,1,8,4,1,6,56,34,11,4,0,1,0,12,400,0.6546644844517185
3,760,49,0,2,82,153,76,2,3,5,0,4,66,66,32,1,0,5,1,24,571,0.7513157894736842
4,932,47,0,0,100,187,84,4,4,7,3,5,103,119,23,4,0,8,0,13,711,0.7628755364806867
5,733,39,1,2,78,150,56,0,1,10,1,4,41,62,9,5,0,4,1,14,478,0.6521145975443383
6,633,18,0,0,70,120,62,3,1,7,4,7,65,94,23,7,0,8,1,7,497,0.7851500789889415
7,789,38,0,1,75,181,66,2,3,8,30,6,52,48,25,7,1,4,1,16,564,0.714828897338403
8,95,6,0,0,7,15,5,1,0,0,2,2,11,7,5,2,0,0,0,0,63,0.6631578947368421
9,902,38,0,0,71,184,104,2,4,12,6,7,80,149,30,12,0,6,1,6,712,0.7893569844789357
10,752,41,1,0,57,159,72,3,5,9,5,4,76,75,29,3,1,4,0,13,557,0.7406914893617021
11,657,23,0,3,63,158,76,2,3,9,5,9,39,61,18,1,0,3,0,9,482,0.7336377473363774
12,812,30,1,3,48,144,66,0,0,4,2,2,107,90,30,3,0,1,0,6,537,0.6613300492610837
13,720,20,0,1,56,139,37,3,2,9,2,11,104,109,30,8,1,3,2,4,541,0.7513888888888889
14,779,26,0,0,50,180,92,4,3,5,2,8,78,108,28,2,1,4,0,7,598,0.7676508344030809
15,704,34,0,0,69,131,59,0,4,14,1,5,61,84,27,5,0,5,1,9,509,0.7230113636363636
16,808,15,0,3,62,134,65,1,4,9,2,5,83,146,32,6,0,5,0,6,578,0.7153465346534653
17,674,34,0,2,60,127,37,1,0,8,0,4,61,48,17,4,0,7,0,7,417,0.6186943620178041
18,788,43,0,0,73,157,76,1,4,10,4,6,60,56,28,8,1,3,1,18,549,0.6967005076142132
19,559,23,0,0,70,99,41,3,2,4,1,0,77,57,22,2,0,4,0,4,409,0.7316636851520573
20,785,41,0,1,71,138,117,3,5,9,1,1,72,64,19,6,0,4,0,24,576,0.7337579617834394
21,606,25,0,0,77,94,47,1,3,3,1,4,65,37,17,6,1,10,0,5,396,0.6534653465346535
22,703,35,0,2,68,136,75,1,3,11,4,9,61,72,27,5,3,6,1,14,533,0.7581792318634424
23,703,39,0,1,67,149,62,3,4,23,3,2,59,72,19,12,2,6,0,15,538,0.7652916073968705
24,735,36,0,1,46,152,71,5,5,23,2,8,65,65,28,12,0,2,0,19,540,0.7346938775510204
25,857,56,1,4,88,184,86,3,5,11,4,0,77,55,24,4,2,1,0,10,615,0.7176196032672112
26,555,40,0,1,51,121,55,3,5,6,5,2,43,41,10,4,0,2,0,17,406,0.7315315315315315
27,580,44,0,2,47,110,58,2,7,8,1,4,52,67,17,2,3,1,0,9,434,0.7482758620689656
28,703,46,1,1,71,144,77,3,4,5,4,2,53,64,21,8,0,4,0,16,524,0.7453769559032717
29,726,25,2,2,44,191,80,4,4,3,2,7,55,88,24,4,0,2,1,9,547,0.7534435261707989
30,687,32,0,2,51,148,87,3,3,10,1,9,45,100,29,9,0,5,1,10,545,0.7933042212518195
31,700,29,0,1,70,142,93,3,2,4,3,7,46,65,26,11,2,1,0,4,509,0.7271428571428571
32,748,36,0,1,69,167,104,0,6,23,2,7,49,53,14,13,1,2,1,9,557,0.7446524064171123
33,694,43,0,2,74,146,82,1,7,5,3,2,54,40,11,4,2,1,0,15,492,0.7089337175792507
34,768,32,0,2,81,150,79,1,6,9,8,4,52,73,27,7,1,5,0,7,544,0.7083333333333334
35,494,10,0,0,63,91,42,5,1,5,8,9,34,99,39,3,0,2,0,3,414,0.8380566801619433
36,826,36,0,0,50,193,86,2,4,12,10,8,84,121,35,8,1,1,0,9,660,0.7990314769975787
37,652,21,0,1,64,142,65,3,8,9,4,10,66,80,30,5,0,13,0,6,527,0.808282208588957
38,584,21,0,2,48,144,51,4,1,8,1,6,62,68,27,11,0,7,1,9,471,0.8065068493150684
39,642,21,0,0,36,161,65,4,5,8,7,11,65,91,22,12,0,4,0,2,514,0.8006230529595015
40,587,10,0,3,37,138,57,1,7,14,2,6,51,62,19,10,0,0,1,8,426,0.7257240204429302
41,637,36,0,2,69,105,69,1,3,10,3,5,28,54,22,3,0,3,0,14,427,0.6703296703296703
42,635,35,0,2,50,146,51,1,1,6,6,5,52,62,30,3,0,4,0,8,462,0.7275590551181103
43,654,34,0,0,93,158,54,3,3,7,1,2,56,69,18,5,1,2,1,3,510,0.7798165137614679
44,838,38,0,1,63,191,3,74,1,5,6,7,71,80,15,7,0,1,0,6,569,0.6789976133651552
45,587,20,0,0,67,122,43,1,1,6,1,4,48,58,18,3,0,4,0,4,400,0.6814310051107325
46,678,26,0,1,58,152,57,2,1,10,4,4,61,74,25,2,0,3,1,10,491,0.724188790560472
47,664,41,0,3,84,141,67,1,2,6,1,4,57,74,18,6,0,4,2,7,518,0.7801204819277109
48,630,20,0,0,66,118,60,0,2,3,2,5,62,89,21,6,1,4,0,4,463,0.734920634920635
49,703,27,0,4,40,191,52,8,4,11,2,6,56,110,24,10,0,2,1,4,552,0.7852062588904695
50,676,12,0,3,38,150,47,2,4,7,5,7,73,119,40,9,1,2,1,3,523,0.7736686390532544
51,707,7,0,2,21,180,48,3,5,9,1,10,81,154,38,8,0,7,2,3,579,0.8189533239038189
52,727,28,0,0,34,164,59,5,6,8,2,5,52,160,35,11,1,2,1,3,576,0.7922971114167813
53,677,23,0,0,31,148,76,4,1,13,8,7,72,96,34,4,0,7,0,1,525,0.7754800590841949
54,636,23,0,2,59,158,48,3,2,12,2,7,61,72,30,7,0,4,0,4,494,0.7767295597484277
55,717,0,0,0,0,163,52,3,2,15,0,2,62,60,33,5,0,0,0,0,397,0.5536959553695955
56,539,15,0,0,35,124,42,1,2,20,0,4,57,55,23,15,0,7,0,1,401,0.7439703153988868
57,706,18,0,0,64,153,55,4,5,3,6,5,59,58,22,13,0,4,0,4,473,0.669971671388102
58,687,24,0,1,55,160,56,1,4,10,4,7,67,73,20,7,0,4,2,10,505,0.735080058224163
59,782,23,0,0,61,163,60,5,1,7,5,4,81,79,25,5,0,5,3,8,535,0.6841432225063938
60,740,38,0,0,57,194,49,2,4,10,3,10,79,87,23,8,0,6,1,9,580,0.7837837837837838
61,552,23,0,1,80,115,29,1,3,7,2,2,47,47,12,2,1,1,0,8,381,0.6902173913043478
62,606,25,1,3,81,147,37,0,4,7,1,2,58,62,21,3,0,5,0,9,466,0.768976897689769
63,643,13,1,0,58,149,50,3,3,11,16,10,63,66,23,5,0,3,1,6,481,0.7480559875583204
64,689,46,1,1,72,148,51,2,7,8,4,4,59,61,34,8,2,3,1,8,520,0.7547169811320755
65,777,19,0,1,51,186,46,7,1,9,5,15,83,136,40,9,1,4,0,1,614,0.7902187902187903
66,684,27,1,0,83,164,42,3,3,14,3,2,65,62,24,7,1,3,1,8,513,0.75
67,677,21,0,0,85,135,41,0,0,10,1,5,82,64,31,9,0,3,1,5,493,0.7282127031019202
68,589,16,0,0,34,159,56,4,1,10,1,2,52,91,34,4,0,4,0,2,470,0.797962648556876
69,712,11,0,1,31,172,54,4,7,8,5,13,61,135,31,8,0,7,0,2,550,0.7724719101123596
70,650,19,0,0,48,156,48,3,0,10,3,3,50,120,31,9,0,4,0,8,512,0.7876923076923077
71,705,22,0,1,49,192,53,2,8,9,3,5,56,85,37,3,1,3,0,3,532,0.7546099290780142
72,646,23,1,2,76,159,35,1,2,3,3,1,53,57,19,1,2,1,0,8,447,0.6919504643962848
73,600,29,0,3,38,158,65,5,1,15,4,1,47,75,26,6,3,3,0,6,485,0.8083333333333333
74,627,24,2,2,41,126,47,4,2,12,2,7,66,78,34,8,1,1,0,4,461,0.7352472089314195
75,377,17,0,1,32,102,20,1,2,5,1,5,36,38,28,3,0,3,0,1,295,0.7824933687002652
76,655,11,0,3,71,113,33,1,1,12,5,0,63,76,20,3,2,0,0,4,418,0.6381679389312978
77,618,14,0,1,64,111,39,0,0,5,2,0,51,61,17,7,0,1,2,6,381,0.616504854368932
78,593,9,0,0,95,68,17,1,0,1,1,0,44,60,9,2,0,4,0,3,314,0.5295109612141653
79,636,20,0,0,51,193,52,5,3,6,3,1,74,49,19,4,1,3,0,2,486,0.7641509433962265
80,644,15,0,0,42,145,44,3,9,8,5,4,46,80,34,8,1,2,0,9,455,0.7065217391304348
81,519,22,0,0,53,110,31,4,5,7,2,6,53,46,28,1,1,2,0,8,379,0.7302504816955684
82,1334,10,0,1,75,35,11,0,0,2,0,4,52,58,17,0,1,5,0,2,273,0.20464767616191903
83,994,29,0,0,163,237,34,8,3,5,2,1,127,95,37,6,2,5,0,12,766,0.7706237424547284
84,556,24,0,0,58,108,33,3,4,6,0,5,53,56,21,8,0,2,1,6,388,0.697841726618705
85,592,26,0,1,79,112,30,1,4,5,4,1,58,65,13,5,0,3,0,7,414,0.6993243243243243
86,621,31,0,1,74,115,35,0,0,9,3,2,75,57,24,7,0,2,0,4,439,0.7069243156199678
87,630,33,0,0,109,123,29,0,3,5,2,3,80,47,20,2,0,4,0,8,468,0.7428571428571429
88,791,26,1,0,114,138,31,0,4,11,1,3,76,61,23,3,0,6,0,7,505,0.638432364096081
89,686,26,0,1,126,123,12,2,5,7,2,5,78,60,21,1,2,3,1,5,480,0.6997084548104956
90,632,17,0,2,120,123,28,2,4,3,1,3,51,41,25,6,0,3,0,10,439,0.694620253164557
91,545,33,1,3,86,107,21,5,4,8,7,6,46,53,14,3,3,2,0,5,407,0.7467889908256881
92,646,28,0,2,99,110,33,7,5,3,1,3,67,54,22,3,5,4,1,4,451,0.6981424148606811
93,535,12,1,2,83,80,17,1,1,0,1,1,50,41,13,3,1,6,0,0,313,0.5850467289719626
94,734,21,0,3,129,127,30,2,7,8,4,3,86,57,29,7,1,6,0,7,527,0.717983651226158
95,790,25,0,2,136,154,37,8,1,7,8,1,94,71,25,7,2,7,0,7,592,0.7493670886075949
96,758,27,0,0,104,172,26,0,3,6,3,3,90,74,22,9,2,3,1,4,549,0.7242744063324539
97,688,25,0,1,93,123,18,1,3,11,4,2,74,82,28,4,0,2,1,4,476,0.6918604651162791
98,648,25,0,3,105,114,23,1,3,6,7,6,73,65,12,5,0,0,0,7,455,0.7021604938271605
99,668,18,0,4,107,125,23,2,0,9,3,5,82,84,16,3,1,4,0,4,490,0.7335329341317365
100,724,22,0,1,119,117,20,6,2,8,2,4,97,69,21,3,2,1,0,9,503,0.6947513812154696
101,723,32,0,2,132,138,27,1,0,6,5,3,69,70,23,8,1,6,1,7,531,0.7344398340248963
102,692,27,0,2,129,117,22,4,2,6,3,2,74,67,20,2,1,8,1,5,492,0.7109826589595376
103,671,20,0,4,110,128,29,0,2,12,3,0,62,44,10,3,2,2,0,7,438,0.6527570789865872
104,745,37,1,0,144,117,27,2,2,7,3,2,81,56,25,1,1,3,1,3,513,0.6885906040268457
105,733,26,1,0,121,164,19,3,3,7,4,3,81,57,13,2,3,3,0,6,516,0.703956343792633
106,605,40,1,2,105,112,25,3,3,3,3,2,53,65,8,1,2,5,1,7,441,0.7289256198347107
107,640,11,0,1,86,116,27,4,1,5,9,0,77,75,25,0,3,5,0,6,451,0.7046875
108,806,41,0,1,129,150,36,3,1,7,1,4,86,72,15,1,0,5,0,6,558,0.6923076923076923
109,767,38,1,3,129,119,16,5,3,7,3,2,92,47,22,7,1,1,0,7,503,0.6558018252933507
110,483,16,0,1,88,57,15,2,0,2,4,3,60,41,18,1,0,10,2,4,324,0.6708074534161491
111,755,29,1,2,107,137,24,1,2,13,3,4,83,84,17,4,3,7,1,8,530,0.7019867549668874
112,697,17,1,3,104,154,28,2,2,0,4,4,98,70,26,7,0,4,0,4,528,0.757532281205165
113,633,23,1,0,88,155,30,2,2,4,2,4,71,51,15,5,0,1,0,2,456,0.7203791469194313
114,607,19,1,1,90,145,42,4,2,2,2,3,59,72,13,14,0,3,0,1,473,0.7792421746293245
115,695,30,0,2,103,164,32,1,4,8,1,4,84,50,15,6,0,3,0,4,511,0.7352517985611511
116,817,36,0,1,118,159,24,3,3,10,4,2,106,90,14,7,3,10,1,4,595,0.7282741738066095
117,693,22,0,0,128,143,26,0,2,5,3,2,64,59,17,2,2,7,0,7,489,0.7056277056277056
118,565,26,0,1,60,93,32,2,2,12,2,3,89,66,22,2,1,2,0,5,420,0.7433628318584071
119,727,42,0,0,103,168,30,7,2,10,4,4,95,60,21,5,0,4,0,3,558,0.7675378266850069
120,588,21,0,1,88,118,19,2,1,1,1,3,79,39,13,0,0,3,0,5,394,0.6700680272108843
121,615,26,0,3,108,115,24,2,0,4,2,0,54,49,11,7,1,3,0,6,415,0.6747967479674797
122,579,18,1,0,106,119,29,2,2,3,0,2,62,53,17,5,0,1,0,5,425,0.7340241796200345
123,658,18,0,1,130,111,18,0,2,4,3,2,74,61,7,4,0,3,1,5,444,0.6747720364741642
124,655,26,0,1,124,110,28,5,2,6,2,3,75,62,18,2,0,5,1,0,470,0.7175572519083969
125,614,16,1,2,115,111,23,0,0,5,3,3,81,40,13,7,1,4,0,5,430,0.7003257328990228
126,616,20,0,0,104,118,10,0,1,5,7,4,71,39,20,1,1,4,1,6,412,0.6688311688311688
127,606,20,0,2,97,111,25,2,3,4,2,4,57,48,12,3,3,5,1,7,406,0.66996699669967
128,545,23,0,0,105,111,25,3,2,2,5,1,43,26,15,3,0,5,0,4,373,0.6844036697247706
129,656,21,0,2,81,165,27,7,5,3,5,4,66,64,24,0,0,9,0,7,490,0.7469512195121951
130,718,27,0,0,95,177,34,3,1,12,8,9,78,68,27,4,0,4,0,1,548,0.7632311977715878
131,625,26,1,1,108,122,26,0,1,3,4,3,73,44,9,1,0,3,0,3,428,0.6848
132,68,0,0,0,2,8,1,0,0,0,0,0,1,8,0,0,0,0,0,2,22,0.3235294117647059
133,871,21,0,3,156,179,28,5,4,6,6,4,92,77,24,6,2,5,1,2,621,0.7129735935706085
134,655,33,0,0,117,121,34,0,2,9,3,0,74,55,11,0,2,2,0,5,468,0.7145038167938931
135,702,20,0,1,106,184,21,6,2,6,1,2,71,66,17,5,0,5,1,4,518,0.7378917378917379
136,723,28,1,1,119,178,26,1,2,15,4,0,83,78,31,2,1,4,0,5,579,0.8008298755186722
137,649,38,0,0,101,124,19,3,1,2,3,3,56,79,18,3,0,5,1,4,460,0.7087827426810478
138,670,35,0,2,106,163,22,4,2,8,3,5,94,51,19,2,0,3,0,1,520,0.7761194029850746
139,956,45,0,1,184,216,37,1,3,8,7,5,105,56,20,6,1,3,1,6,705,0.7374476987447699
140,969,35,0,2,192,188,38,3,10,8,10,0,112,58,30,3,2,1,0,5,697,0.7192982456140351
141,851,22,2,1,169,198,0,4,6,9,5,4,91,62,25,5,2,4,1,3,613,0.7203290246768508
142,671,34,1,1,114,156,12,2,0,5,3,1,64,80,4,6,1,1,0,8,493,0.7347242921013413
143,673,24,0,1,127,119,13,1,4,10,1,4,95,51,13,1,1,4,0,5,474,0.7043090638930164
144,653,19,0,1,122,113,21,2,5,3,1,3,83,60,13,1,0,1,0,6,454,0.6952526799387443
145,638,18,0,2,109,126,25,1,1,6,4,0,70,55,23,3,0,5,0,6,454,0.7115987460815048
146,658,14,0,2,105,135,23,2,4,9,4,2,73,53,20,3,2,2,1,5,459,0.6975683890577508
147,689,21,0,0,103,144,37,3,4,6,2,1,94,57,30,0,0,5,0,4,511,0.7416545718432511
148,749,40,0,0,118,158,37,4,3,11,1,1,78,45,13,4,1,5,0,5,524,0.6995994659546061
149,692,20,1,0,80,134,29,2,4,5,5,2,83,62,28,8,0,1,0,2,466,0.6734104046242775
150,781,44,1,1,144,152,35,5,1,6,3,7,84,74,23,1,1,2,1,4,589,0.7541613316261203
151,645,26,1,0,144,113,13,3,1,5,2,3,73,49,15,3,0,6,1,3,461,0.7147286821705426
152,783,25,0,4,129,141,31,2,0,1,1,5,93,71,18,8,2,4,1,8,544,0.6947637292464879
153,737,26,0,1,144,118,18,2,2,4,3,2,89,42,23,2,3,5,0,5,489,0.6635006784260515
154,705,22,1,2,135,134,25,1,0,6,3,1,76,47,12,7,0,5,1,8,486,0.6893617021276596
155,1078,42,1,0,225,183,28,1,5,4,4,6,137,84,29,9,0,7,0,8,773,0.7170686456400742
156,873,32,0,3,146,156,21,2,1,6,3,1,105,87,14,3,3,6,1,4,594,0.6804123711340206
157,825,23,0,3,146,167,24,5,2,5,4,1,97,69,12,6,3,3,0,1,571,0.6921212121212121
158,671,34,1,1,80,144,39,1,3,4,4,2,73,60,23,4,0,4,0,6,483,0.7198211624441133
159,587,18,0,0,114,104,14,1,5,0,3,7,76,40,20,0,1,4,0,3,410,0.6984667802385008
160,605,36,3,1,88,139,29,5,4,7,2,4,69,47,16,1,0,5,0,6,462,0.7636363636363637
161,635,26,0,1,84,162,28,2,2,5,1,3,74,53,15,8,1,3,0,3,471,0.7417322834645669
162,638,26,0,0,69,134,28,2,3,11,5,5,74,50,19,5,2,8,1,4,446,0.6990595611285266
163,666,15,0,3,140,92,15,3,1,3,2,2,74,50,13,6,2,5,0,7,433,0.6501501501501501
164,712,18,0,3,108,120,23,2,2,8,8,4,77,58,16,3,1,4,0,0,455,0.6390449438202247
165,578,6,0,0,84,52,1,0,2,6,2,3,64,47,8,1,1,4,0,3,284,0.4913494809688581
166,660,34,0,0,118,123,20,1,6,2,1,1,78,51,10,5,1,3,0,2,456,0.6909090909090909
167,749,26,0,2,143,115,18,0,5,3,2,1,100,81,16,7,3,6,0,2,530,0.7076101468624834
168,785,34,0,3,145,178,23,3,1,4,3,4,90,62,12,3,1,4,0,2,572,0.7286624203821656
169,608,9,1,1,93,54,2,1,0,1,2,2,56,65,4,1,2,2,1,0,297,0.48848684210526316
170,623,30,0,0,131,126,8,4,0,7,3,3,84,56,13,4,0,1,0,6,476,0.7640449438202247
171,576,32,0,1,113,116,15,0,2,7,3,1,50,48,18,1,3,5,0,4,419,0.7274305555555556
172,563,15,0,0,131,104,10,2,2,4,0,1,68,36,9,2,0,7,0,3,394,0.6998223801065719
173,463,9,0,3,118,70,5,0,1,2,3,1,56,39,6,4,0,4,0,6,327,0.7062634989200864
174,996,44,0,2,214,187,42,2,2,15,3,2,144,66,23,14,1,7,0,7,775,0.7781124497991968
175,685,39,0,2,81,185,47,5,7,4,2,2,68,68,17,2,2,4,3,4,542,0.7912408759124088
176,565,18,0,0,66,110,19,5,4,5,0,2,85,57,17,3,0,1,1,4,397,0.7026548672566372
177,773,21,1,1,142,197,35,0,4,0,1,3,85,58,22,0,0,9,0,7,586,0.7580853816300129
178,645,27,0,7,89,166,29,4,4,5,2,4,65,59,19,7,2,5,0,3,497,0.7705426356589147
179,607,19,0,3,149,101,6,1,1,1,3,1,45,44,6,0,1,2,1,5,389,0.6408566721581549
180,757,34,0,0,142,190,19,4,5,8,1,3,82,57,13,4,0,6,0,3,571,0.7542932628797886
181,659,17,1,0,102,98,16,0,1,3,5,1,81,51,5,5,2,2,1,2,393,0.5963581183611533
182,715,29,1,0,101,174,25,3,2,6,2,2,59,67,18,9,0,3,1,2,504,0.7048951048951049
183,603,18,2,2,96,159,38,3,1,4,3,3,68,42,23,4,0,1,0,2,469,0.7777777777777778
184,572,29,0,1,63,169,31,4,4,6,2,4,54,48,9,1,2,1,0,2,430,0.7517482517482518
185,705,42,1,0,116,202,41,3,8,4,3,3,76,37,13,3,1,3,0,7,563,0.798581560283688
186,700,33,1,2,108,168,42,6,6,7,2,1,79,51,21,2,1,6,0,13,549,0.7842857142857143
187,664,33,1,0,115,178,24,2,2,4,4,4,70,53,20,3,0,4,1,7,525,0.7906626506024096
188,657,25,1,0,110,111,20,1,3,4,1,2,90,67,19,5,0,10,0,8,477,0.726027397260274
189,651,33,0,0,143,109,19,0,3,2,0,4,63,50,11,3,2,2,0,1,445,0.6835637480798771
190,810,11,1,1,136,81,9,3,0,5,6,2,107,56,21,4,1,12,0,2,458,0.5654320987654321
191,722,28,1,1,177,128,8,2,0,3,4,3,85,55,13,5,0,2,0,3,518,0.7174515235457064
192,659,36,0,0,83,147,63,3,1,11,1,3,54,55,20,4,0,6,0,6,493,0.7481031866464339
193,563,38,0,2,59,140,53,3,4,5,4,12,31,39,16,8,2,1,2,7,426,0.7566607460035524
194,546,41,0,0,59,134,49,0,2,7,0,3,33,50,14,4,1,1,1,9,408,0.7472527472527473
195,645,28,0,0,65,179,47,4,5,5,2,5,40,49,33,4,1,2,0,6,475,0.7364341085271318
196,617,34,1,0,88,115,61,2,3,11,2,3,45,41,13,1,0,1,1,8,430,0.6969205834683955
197,866,44,0,4,107,207,73,3,3,9,2,2,74,96,31,5,1,4,1,11,677,0.7817551963048499
198,724,29,0,0,77,160,41,4,3,26,4,3,76,62,36,16,1,2,0,9,549,0.7582872928176796
199,683,23,0,1,44,180,65,14,4,8,2,1,54,73,22,5,0,3,0,6,505,0.739385065885798
200,549,30,0,0,67,158,46,1,3,8,3,2,43,50,15,6,0,3,0,3,438,0.7978142076502732
201,548,23,0,1,42,147,36,3,1,8,4,2,63,42,15,2,0,1,1,4,395,0.7208029197080292
202,894,32,1,4,96,196,54,6,11,7,4,6,107,95,24,10,0,4,0,11,668,0.7472035794183445
203,631,41,0,4,80,118,36,2,3,6,2,0,60,77,31,4,0,2,0,3,469,0.7432646592709984
204,797,37,0,0,88,194,38,3,1,11,1,7,94,76,23,4,1,7,0,13,598,0.7503136762860728
205,744,39,0,1,84,159,67,5,4,16,4,1,48,61,25,3,2,3,0,11,533,0.7163978494623656
206,581,34,0,0,70,130,55,7,5,11,2,3,52,49,20,6,3,4,1,8,460,0.7917383820998278
207,469,6,0,0,32,133,19,4,4,6,11,5,23,34,14,3,0,3,0,7,304,0.6481876332622601
208,735,41,0,0,70,182,51,1,4,9,2,6,69,55,28,4,0,5,0,7,534,0.726530612244898
209,547,21,1,1,89,106,22,1,3,6,3,0,51,49,6,2,0,2,0,10,373,0.6819012797074955
210,539,32,1,1,91,93,23,4,6,3,0,0,50,39,18,2,1,2,0,4,370,0.686456400742115
211,698,38,0,0,97,118,32,2,4,4,0,7,72,57,20,2,4,2,0,9,468,0.670487106017192
212,607,34,0,0,110,113,22,3,1,2,3,3,64,42,17,2,3,2,0,10,431,0.7100494233937397
213,649,37,0,1,117,113,28,1,9,7,0,1,60,52,20,6,0,4,1,8,465,0.7164869029275809
214,700,36,0,0,114,135,29,0,2,4,3,3,85,52,18,3,1,5,0,1,491,0.7014285714285714
215,888,45,1,0,95,191,42,1,3,13,3,3,113,92,28,8,1,4,2,8,653,0.7353603603603603
216,599,34,0,3,104,109,19,1,1,4,1,0,61,49,14,1,3,6,1,9,420,0.7011686143572621
217,765,21,0,0,119,151,44,2,2,4,8,4,85,85,30,7,1,0,0,4,567,0.7411764705882353
218,865,43,0,6,122,187,41,3,4,7,2,1,89,92,34,5,1,5,0,10,652,0.753757225433526
219,616,25,1,1,107,105,31,4,2,4,0,1,65,43,22,2,3,3,1,12,432,0.7012987012987013
220,662,25,0,3,105,117,32,1,2,1,3,2,75,43,15,2,0,3,0,10,439,0.6631419939577039
221,626,10,0,0,103,105,29,1,3,6,5,0,77,54,13,1,0,2,1,6,416,0.6645367412140575
222,578,21,0,2,117,68,12,3,0,4,2,1,56,39,9,2,0,5,0,7,348,0.6020761245674741
223,583,15,3,0,96,87,19,2,1,7,2,2,73,43,15,1,0,0,0,10,376,0.6449399656946827
224,669,32,0,2,109,114,32,1,5,10,4,4,59,69,13,4,3,3,0,6,470,0.70254110612855
225,619,37,0,0,99,87,26,1,3,3,4,1,60,51,22,5,0,1,0,11,411,0.6639741518578353
226,539,17,0,1,52,129,1,40,1,6,5,0,57,47,13,6,0,2,0,7,384,0.712430426716141
227,607,37,1,0,89,122,31,0,1,7,4,4,56,66,15,5,2,2,0,10,452,0.7446457990115322
228,522,17,1,0,75,74,19,2,2,8,0,1,51,59,8,7,0,2,0,5,331,0.6340996168582376
229,556,18,0,0,92,59,9,1,0,3,3,4,54,53,13,1,1,1,0,10,322,0.579136690647482
230,861,46,0,0,123,150,51,1,5,6,1,0,108,47,19,5,3,4,1,5,575,0.667828106852497
231,763,29,0,1,101,165,67,0,3,6,3,4,57,51,16,7,1,2,0,14,527,0.690694626474443
232,751,26,2,1,137,141,20,2,4,5,2,0,77,56,22,5,0,2,0,7,509,0.677762982689747
233,567,20,0,0,103,87,24,0,2,4,1,2,69,42,20,0,2,5,0,9,390,0.6878306878306878
234,512,18,0,1,110,90,14,0,0,3,9,3,40,40,21,3,0,3,1,5,361,0.705078125
235,680,31,0,0,120,109,24,0,3,5,0,4,50,69,11,3,1,2,0,11,443,0.6514705882352941
236,578,25,0,2,97,107,33,0,1,4,4,1,42,48,18,4,2,1,0,15,404,0.698961937716263
237,570,23,1,2,116,80,14,2,1,3,1,2,53,55,10,0,0,6,0,3,372,0.6526315789473685
238,605,40,0,0,105,99,31,1,0,0,3,2,53,40,16,6,0,6,0,11,413,0.6826446280991736
239,575,23,0,1,100,92,25,1,0,5,1,3,53,56,7,4,0,0,0,8,379,0.6591304347826087
240,565,25,1,1,92,96,19,1,3,3,2,1,53,66,10,1,0,4,0,6,384,0.679646017699115
241,578,21,0,0,68,121,41,2,1,8,0,4,63,47,20,4,0,1,0,6,407,0.7041522491349481
242,681,26,3,2,107,91,39,0,1,7,1,2,77,70,17,3,2,1,0,8,457,0.671071953010279
243,609,19,1,2,98,124,19,1,1,2,1,0,72,47,15,3,0,0,0,12,417,0.6847290640394089
244,704,29,2,3,122,121,22,1,1,7,5,1,76,59,30,3,4,6,0,18,510,0.7244318181818182
245,764,28,0,2,145,139,33,2,0,2,5,4,85,60,15,4,1,3,1,8,537,0.7028795811518325
246,633,35,0,1,103,93,21,0,1,3,1,0,67,51,8,3,2,3,0,7,399,0.6303317535545023
247,585,22,0,2,74,108,12,1,0,7,2,0,58,55,8,2,5,3,1,12,372,0.6358974358974359
248,680,17,1,2,147,80,18,0,3,3,3,2,86,58,22,5,1,3,0,5,456,0.6705882352941176
249,789,29,0,0,104,158,21,5,6,5,2,1,100,87,26,7,3,1,1,9,565,0.7160963244613435
250,683,20,0,1,119,136,37,0,2,4,4,1,88,35,12,6,1,4,1,5,476,0.6969253294289898
251,641,16,0,2,116,105,14,2,0,4,2,1,60,56,15,3,1,0,0,4,401,0.625585023400936
